province_id,ordre_bulletin,candidat_id,nom,postnom,prenom,sigle,sexe,province,voixobtenues,pour_cand,bv_traites,bv_attendus,pour_bv,electeurs_attendus,bulletins_valides,bulletins_blancs,total_votants,pour_votants,img
6,10,1_1_1_130_250,KAZADI,KANDA,REX,INDEPENDANT,M,Equateur,137,0.05,1309,1961,67,1021549,266369,403,266772,26.11,
6,6,1_1_1_148_268,BAENDE,ETAFE ELIKO,JEAN CLAUDE,INDEPENDANT,M,Equateur,15864,5.96,1309,1961,67,1021549,266369,403,266772,26.11,
6,1,1_1_1_131_251,RADJABHO,TEBABHO,SOBORABO,CUC,M,Equateur,555,0.21,1309,1961,67,1021549,266369,403,266772,26.11,
6,7,1_1_1_142_262,BOLAMBA,,TONY CASSIUS,INDEPENDANT,M,Equateur,399,0.15,1309,1961,67,1021549,266369,403,266772,26.11,
6,26,1_1_1_153_273,NGILA,,HENOCK,INDEPENDANT,M,Equateur,101,0.04,1309,1961,67,1021549,266369,403,266772,26.11,
6,22,1_1_1_128_248,MATATA,PONYO,MAPON,LGD,M,Equateur,138,0.05,1309,1961,67,1021549,266369,403,266772,26.11,
6,2,1_1_1_129_249,MUTAMBA,TUNGUNGA,CONSTANT,DYPRO,M,Equateur,235,0.09,1309,1961,67,1021549,266369,403,266772,26.11,
7,6,1_1_1_148_268,BAENDE,ETAFE ELIKO,JEAN CLAUDE,INDEPENDANT,M,Nord-Ubangi,388,0.11,1249,1433,87,746993,345668,416,346084,46.33,
7,13,1_1_1_147_267,MASALU,ANEDU,ANDRE,INDEPENDANT,M,Nord-Ubangi,110,0.03,1249,1433,87,746993,345668,416,346084,46.33,
7,21,1_1_1_137_257,FAYULU,MADIDI,MARTIN,LAMUKAFAYULU,M,Nord-Ubangi,926,0.27,1249,1433,87,746993,345668,416,346084,46.33,
7,25,1_1_1_152_272,BILE,BATALI,JOELLE,INDEPENDANT,F,Nord-Ubangi,69,0.02,1249,1433,87,746993,345668,416,346084,46.33,
