voting_site_id,1_1_1_128_248,1_1_1_129_249,1_1_1_130_250,1_1_1_131_251,1_1_1_132_252,1_1_1_133_253,1_1_1_134_254,1_1_1_135_255,1_1_1_136_256,1_1_1_137_257,1_1_1_138_258,1_1_1_139_259,1_1_1_140_260,1_1_1_141_261,1_1_1_142_262,1_1_1_143_263,1_1_1_144_264,1_1_1_145_265,1_1_1_146_266,1_1_1_147_267,1_1_1_148_268,1_1_1_149_269,1_1_1_150_270,1_1_1_151_271,1_1_1_152_272,1_1_1_153_273,1_1_1_999_999
1002070,0,1,0,0,0,1,3,64,6,21,0,0,0,0,0,541,0,0,0,0,2,0,0,0,0,0,0
1002071,0,0,0,0,0,1,0,36,4,13,0,0,2,0,1,450,1,0,0,0,0,0,0,0,0,0,0
1002072,0,0,0,1,0,1,2,56,15,30,4,0,0,0,0,845,0,0,1,0,2,0,0,0,0,0,1
1002073,0,1,0,0,0,3,0,43,6,35,0,2,0,0,0,471,0,0,0,0,2,0,0,0,0,0,0
1002074,2,2,1,0,0,2,2,63,8,22,0,0,0,0,0,561,0,0,0,0,0,0,0,0,0,0,2
1002075,1,1,0,1,0,2,3,90,37,33,0,1,0,5,1,763,1,0,1,0,0,1,0,0,9,1,3
1002076,0,2,0,0,0,2,5,100,3,45,4,1,0,0,0,1438,0,0,1,0,3,0,0,0,0,0,2
1002077,0,1,0,4,0,3,2,111,17,52,0,0,0,0,0,1362,0,1,1,0,1,1,0,0,0,0,1
1002078,0,0,0,0,0,2,3,78,13,32,0,0,0,0,0,862,1,0,0,0,3,0,0,0,0,0,2
1002079,10,4,8,6,5,5,4,85,31,32,4,10,5,11,2,1753,7,3,5,6,2,6,5,8,6,5,45
1002080,2,2,0,0,0,0,2,79,3,57,0,2,0,2,0,486,0,0,0,1,0,0,0,0,0,0,0
1002081,0,11,1,0,0,2,6,120,12,73,0,0,4,0,0,1214,0,0,0,0,3,1,0,0,1,0,4
1002082,1,2,0,0,0,5,5,142,22,62,1,2,0,0,1,1937,0,0,0,0,2,1,1,0,1,0,1
1002083,0,3,0,0,0,8,17,264,31,121,0,3,0,1,5,2214,0,0,0,0,1,0,1,0,2,0,5
1002084,0,1,0,0,0,2,4,156,28,106,0,2,0,0,0,1476,0,1,0,0,2,0,1,0,2,0,3
1002085,0,2,0,1,0,3,0,83,4,43,0,1,0,0,0,796,0,0,0,0,0,0,0,0,1,0,0
1002086,0,1,0,0,0,2,1,24,2,5,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,2
1002087,0,1,0,0,0,2,2,100,8,49,0,2,0,1,0,932,0,0,1,0,1,0,0,0,0,0,3
1002088,0,0,0,0,0,2,0,24,1,15,0,1,2,0,0,407,0,0,0,0,0,0,0,0,0,0,0
1002089,0,2,0,0,0,3,1,116,8,68,0,2,0,0,0,1354,0,8,0,1,5,0,0,0,0,0,2
1002090,1,2,0,0,1,2,4,130,7,60,0,1,1,0,0,1295,1,1,1,0,3,2,0,0,0,0,1
1002091,0,0,0,1,0,1,1,62,8,25,0,0,0,0,0,627,0,0,1,0,0,0,0,0,0,0,4
1002092,0,5,2,1,0,2,3,165,17,88,0,3,0,1,0,2179,1,3,3,0,0,0,0,1,1,3,3
1002093,0,1,0,1,0,2,2,87,7,42,0,2,0,0,0,920,0,0,2,2,1,0,0,1,0,0,2
1002094,0,3,0,1,0,9,3,143,13,81,0,3,0,0,0,1445,0,1,0,2,4,0,0,0,2,0,0
1002095,0,2,0,1,0,2,0,92,14,38,0,0,0,0,0,1086,0,1,0,0,3,1,0,0,1,0,1
1002096,0,1,0,3,0,4,4,101,14,217,0,0,1,0,0,1042,0,2,1,1,1,0,0,0,0,0,3
1002097,0,3,0,0,0,1,0,72,15,20,0,1,0,0,0,832,0,0,0,0,1,0,0,0,0,0,4
1002098,1,0,1,2,0,3,2,94,5,50,0,0,0,0,1,1037,0,0,0,2,1,0,0,0,2,0,4
1002099,0,1,0,0,0,1,0,55,9,31,0,0,0,1,2,778,0,1,0,0,0,0,0,0,0,1,1
1002100,1,4,0,1,0,4,1,88,8,58,1,0,1,0,0,1059,1,0,0,1,0,0,0,0,2,0,1
1002101,1,3,0,0,0,1,2,109,9,41,1,1,1,0,0,1609,0,0,0,0,1,0,0,1,0,0,2
1002102,0,4,0,1,0,2,3,170,24,36,0,2,0,0,0,1609,0,0,0,0,0,0,0,0,0,0,5
1002103,0,1,0,0,0,0,1,73,17,57,0,0,0,0,0,1190,0,0,0,1,1,0,0,1,0,0,3
1002104,0,4,0,1,0,9,5,134,16,62,0,4,0,2,0,1914,2,0,0,1,1,2,0,0,0,0,3
1002105,0,4,1,2,0,9,0,73,40,65,1,0,0,4,3,1419,0,0,0,0,2,0,0,0,0,0,6
1002106,1,1,1,0,0,0,2,112,12,40,1,1,0,0,0,1199,0,2,0,0,1,0,0,0,1,0,3
